species,type,estimate,se
Mexican Whip-poor-will,intercept,0.7159693331219513,0.7989752385248032
Micronesian Scrubfowl,intercept,1.375215387749205,0.754038385472666
Mississippi Kite,intercept,-0.2003541458984951,0.19490043379144018
Moluccan Goshawk,intercept,1.0077394476369794,0.822081720172545
Monk Parakeet,intercept,-0.14669122312450533,0.5900199072388338
Mountain Bluebird,intercept,1.2671866221789403,0.2484373951057215
Mountain Chickadee,intercept,0.9064647851943225,0.2243304339778585
Mountain Grackle,intercept,0.732307419915951,0.5465033360494367
Mountain Quail,intercept,1.129347293398155,0.6092547331854338
Mourning Dove,intercept,1.21592306281124,0.09237889061594484
Mourning Warbler,intercept,2.2868482724818047,0.4437377013225529
Moustached Antpitta,intercept,1.0395124696365328,0.8570022363329457
Mute Swan,intercept,-0.37225397859867393,0.3142440087091262
Nashville Warbler,intercept,1.7345358491535263,0.265952507891534
Nelson's Sparrow,intercept,0.4457128036453177,0.3745955354234845
New Britain Bronzewing,intercept,0.5063090491310607,0.7893790236324912
New Britain Kingfisher,intercept,0.3546620234685761,0.6403175302613714
New Caledonia Goshawk,intercept,0.758319015417602,0.6755886043498893
New Zealand Grebe,intercept,-0.6215662524836686,0.5254470709900548
